	32094	time 	type	id	action	user	parameter	content
0	0	08:54:54	Issue	101	create	Andrea		
6	351	09:00:45	Issue	101	update	Andrea		create a warehouse component
6	355	09:00:49	Alternative	1	create	Andrea		
6	355	09:00:49	Alternative	1	relate	Andrea	Issue	101
6	356	09:00:50	Alternative	1	update	Andrea		yes
6	357	09:00:51	Alternative	2	create	Andrea		
6	357	09:00:51	Alternative	2	relate	Andrea	Issue	101
6	365	09:00:59	Alternative	2	update	Andrea		no
6	368	09:01:02	Alternative	3	create	Andrea		
6	368	09:01:02	Alternative	3	relate	Andrea	Issue	101
6	375	09:01:09	Alternative	3	update	Andrea		I don't understand
7	402	09:01:36	Alternative	3	decide	Andrea	Negative	what's the rationale of this component
7	409	09:01:43	Alternative	2	decide	Simone	Negative	 not really necessary as a component, db is could be seen as datawarehouse
7	423	09:01:57	Issue	102	create	Fabio		
7	435	09:02:09	Issue	102	update	Fabio		Single DB for all?
7	439	09:02:13	Alternative	4	create	Fabio		
7	439	09:02:13	Alternative	4	relate	Fabio	Issue	102
7	439	09:02:13	Issue	103	create	Cesare		
7	440	09:02:14	Issue	103	update	Cesare		Distributed DB?
8	466	09:02:40	Alternative	4	update	Fabio		a DB to store the catalogue data and one for the user & their orderds
8	499	09:03:13	Alternative	5	create	Rasel		
8	500	09:03:14	Alternative	5	relate	Rasel	Issue	102
8	500	09:03:14	Alternative	5	update	Rasel		no
8	506	09:03:20	Alternative	5	decide	Rasel	Open	can be good to separate sensitive data (customer credit card number not in same database ad catalog/order)
9	512	09:03:26	Alternative	4	update	Fabio		a DB to store the catalogue data and one for the user (address, e-mail,...) & their orderds
9	512	09:03:26	Issue	104	create	Cesare		
9	555	09:04:09	Issue	104	update	Cesare		What is the order of activation?
9	556	09:04:10	Alternative	6	create	Cesare		
9	556	09:04:10	Alternative	6	relate	Cesare	Issue	104
9	561	09:04:15	Alternative	6	update	Cesare		order - auth
9	562	09:04:16	Alternative	7	create	Cesare		
9	562	09:04:16	Alternative	7	relate	Cesare	Issue	104
9	567	09:04:21	Alternative	7	update	Cesare		auth - order
10	595	09:04:49	Alternative	7	decide	Andrea	Positive	positive sounds logic
13	757	09:07:31	Alternative	6	decide	Fabio	Open	usefull to browusefull to browse the catalogue whitout orderingse
13	759	09:07:33	Alternative	8	create	Fabio		
13	759	09:07:33	Alternative	8	relate	Fabio	Issue	104
13	775	09:07:49	Alternative	8	update	Fabio		authentication must be done at least when the user submit an order
13	782	09:07:56	Alternative	9	create	Fabio		
13	782	09:07:56	Alternative	9	relate	Fabio	Issue	104
13	790	09:08:04	Alternative	9	update	Fabio		orthogonal
